Valor;Titulo;Quilometragem;Cambio;Combustivel;Localizacao
R$ 64.500;FIORINO 2019/2020 1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;38.450;km;Flex;São Paulo, Vila Guilherme
R$ 83.900;COROLLA 2019/2019 1.8 GLI UPPER 16V FLEX 4P AUTOMÁTICO;37.744;km;Flex;São Paulo, Vila Guilherme
R$ 29.800;Golf GLX 1995 com 49.300km. Original e impecável;49.300;km;Gasolina;Osasco, Jaguaribe
R$ 137.267;Jeep Renegade Trailhawk Turbo Diesel At 2.0 4x4 20/21;0;km;Diesel;São Paulo, Casa Verde
R$ 38.900;Hyundai HB20 HB20 1.0 Comfort;40.000;km;Flex;São Paulo, Moinho Velho
R$ 27.500;Jeep militar;100;km;Gasolina;São Paulo, Tucuruvi
R$ 21.500;Voyage completo 1.0 trend;138.000;km;Flex;Diadema, Centro
R$ 9.900;CELTA LIFE 1.0 VHC FLEXPOWER;110.000;km;Flex;Santo André, Vila Guaraciaba
R$ 6.000;Uno ano 97 ;0;km;Gasolina;São Paulo, Parque Santo Antônio
R$ 24.000;Bravo;94.000;km;Flex;São Paulo, Cidade São Mateus
R$ 75.590;Doblo Essence 1.8 4p 2020 - AR DH;35.000;km;Flex;São Paulo, Vila Carrão
R$ 42.900;Prisma Joy 2019;41.990;km;Flex;Mogi das Cruzes, Jardim Avenida
R$ 89.250;Nissan Kicks SL 19/20 | 10.500km;10.500;km;Flex;São Bernardo do Campo, Rudge Ramos
R$ 33.900;HONDA CITY DX 1.5 FLEX AUT - 2011;90.000;km;Flex;São Paulo, Quinta da Paineira
R$ 10.000;Caravan preparada aspirada turbo ;99.999;km;Álcool;São Paulo, Vila Nivi
R$ 9.300;Palio 1.0 Barato;142.000;km;Flex;São Paulo, Parque Boturussu
R$ 7.500;Vende_se, Palio fire Flex 2006/2007;151.000;km;Flex;Carapicuíba, Jardim Angélica
R$ 96.990;Fiat Toro 2.0 16v Turbo Volcano 4wd At9;93.554;km;Diesel;Osasco, Umuarama
